| 참고문헌 | 상태 | HTTP | GitHub 미러 | URL |
| ref-085 | 정책 차단 | - | - | https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2025.1548684/full |
| ref-086 | 정책 차단 | - | - | https://www.researchgate.net/publication/333410520_Indoor_Robot_Navigation_Using_Graph_Models_Based_on_BIMIFC |
| ref-087 | 정책 차단 | 403 | 열림(원문) | https://github.com/google-research/google-research/blob/master/saycan/README.md |
| ref-088 | 정책 차단 | - | - | https://arxiv.org/abs/2204.01691 |
| ref-089 | 정책 차단 | 403 | - | https://github.com/SMARTlab-Purdue/SMART-LLM |
| ref-090 | 정책 차단 | - | - | https://arxiv.org/abs/2309.10062 |
| ref-091 | 정책 차단 | 403 | - | https://github.com/Cranial-XIX/llm-pddl |
| ref-092 | 정책 차단 | - | - | https://arxiv.org/abs/2304.11477 |
| ref-093 | 정책 차단 | - | - | https://proceedings.mlr.press/v162/huang22a.html |
| ref-094 | 정책 차단 | 403 | - | https://github.com/huangwl18/language-planner |
| ref-095 | 정책 차단 | 403 | 열림(원문) | https://github.com/google-research/google-research/blob/master/code_as_policies/README.md |
| ref-096 | 정책 차단 | - | - | https://repub.eur.nl/pub/107376/ |
| ref-097 | 정책 차단 | - | - | https://www.tandfonline.com/doi/abs/10.1080/24725854.2018.1560517 |
| ref-098 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S0377221717310901 |
| ref-099 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S0377221705001840 |
| ref-100 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S0377221704006459 |
| ref-101 | 정책 차단 | 403 | - | https://github.com/merschformann/RAWSim-O |
| ref-102 | 정책 차단 | - | - | https://link.springer.com/chapter/10.1007/978-3-032-07675-5_69 |
| ref-103 | 정책 차단 | - | - | https://pmc.ncbi.nlm.nih.gov/articles/PMC11946681/ |
| ref-104 | 정책 차단 | 403 | - | https://github.com/open-rmf/rmf_demos |
| ref-105 | 정책 차단 | 403 | 열림(원문) | https://github.com/open-rmf/fleet_adapter_template/blob/main/fleet_adapter_template/config.yaml |
| ref-106 | 정책 차단 | - | - | https://cslc.koti.re.kr/ |
| ref-107 | 정책 차단 | - | - | https://www.law.go.kr/LSW/lsInfoP.do?lsId=000091 |
| ref-108 | 정책 차단 | - | - | https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001485142 |
| ref-109 | 정책 차단 | - | - | https://arxiv.org/abs/2406.17003 |
| ref-110 | 정책 차단 | - | 열림(원문) | https://osrf.github.io/ros2multirobotbook/task_new.html |
| ref-111 | 정책 차단 | 403 | 열림(원문) | https://github.com/open-rmf/rmf_api_msgs/blob/main/rmf_api_msgs/schemas/task_state.json |
| ref-112 | 정책 차단 | - | - | https://www.omg.org/spec/BPMN/2.0/About-BPMN |
| ref-113 | 정책 차단 | - | - | https://docs.camunda.io/docs/components/concepts/messages/ |
| ref-114 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S0921889022002111 |
| ref-115 | 정책 차단 | - | - | https://www.tandfonline.com/doi/full/10.1080/21693277.2023.2283031 |
| ref-116 | 정책 차단 | - | - | https://arxiv.org/abs/2603.15427 |
| ref-117 | 정책 차단 | 403 | 열림(원문) | https://github.com/MESAInternational/B2MML-BatchML/blob/master/Schema/B2MML-Common.xsd |
| ref-118 | 정책 차단 | 403 | 열림(원문) | https://github.com/MESAInternational/B2MML-BatchML/blob/master/Schema/B2MML-OperationsDefinition.xsd |
| ref-119 | 정책 차단 | - | - | https://www.iso.org/standard/67480.html |
| ref-120 | 정책 차단 | - | - | https://arxiv.org/abs/1903.01804 |
| ref-121 | 정책 차단 | - | - | https://arxiv.org/abs/2201.05588 |
| ref-122 | 정책 차단 | - | - | https://arxiv.org/abs/2403.01975 |
| ref-123 | 정책 차단 | - | - | https://scor.ascm.org/processes/fulfill/F1.3 |
| ref-124 | 정책 차단 | - | - | https://www.nlic.go.kr/nlic/board0010.action?S_DOC_ID=5897&S_DOC_SEQ=&command=VIEW |
| ref-125 | 정책 차단 | 403 | 열림(원문) | https://github.com/open-rmf/rmf_api_msgs/blob/main/rmf_api_msgs/schemas/task_request.json |
| ref-126 | 정책 차단 | 403 | 열림(원문) | https://github.com/open-rmf/rmf_api_msgs/blob/main/rmf_api_msgs/schemas/cancel_task_request.json |
